545, -13, -1081
439, -190, -1028
255, -246, -1040
275, -160, -1154
388, 48, -1186
493, 223, -1094
434, 253, -1123
434, 253, -1123
210, 167, -1151
84, 61, -1073
152, 49, -1005
6, -148, -1010
-434, -602, -1141
-862, -995, -1159
-1061, -1220, -1099
-1133, -1449, -1112
-1124, -1585, -1119
-943, -1628, -1087
-654, -1545, -1075
-311, -1350, -1054
-81, -1161, -1116
98, -980, -1151
289, -714, -1150
422, -370, -1096
380, -121, -1103
348, 272, -1113
353, 839, -1098
533, 1279, -1141
896, 1629, -1300
1183, 1954, -1252
1162, 1997, -891
874, 1783, -600
632, 1235, -568
342, 623, -676
52, 144, -874
52, 144, -874
-247, -260, -1057
-560, -617, -1278
-734, -887, -1328
-,-,-
467, -115, -1227
465, -34, -1179
465, -34, -1179
494, 105, -987
529, 158, -1038
553, 180, -1183
599, 336, -1176
719, 520, -1154
774, 661, -1089
734, 560, -989
619, 366, -935
277, 96, -951
277, 96, -951
-306, -270, -1050
-777, -632, -1152
-1057, -952, -1181
-1173, -1123, -1130
-1157, -1278, -1129
-1004, -1378, -1101
-489, -1303, -1148
-287, -1182, -1119
-48, -981, -1109
114, -790, -1057
192, -540, -1001
162, -401, -1051
81, -316, -1074
218, -4, -1104
218, -4, -1104
441, 407, -1117
731, 757, -1208
1069, 1280, -1206
1368, 1775, -910
1310, 1890, -700
1029, 1653, -694
653, 1227, -795
256, 782, -921
-131, 355, -1046
-387, -4, -1177
-474, -221, -1192
-590, -509, -1274
-780, -765, -1438
-,-,-
-146, -335, -1037
-150, -292, -1086
-73, -152, -1131
-12, -19, -1152
91, 98, -1134
289, 215, -1149
545, 345, -1173
795, 507, -1240
931, 595, -1227
927, 579, -1099
801, 529, -927
509, 409, -806
509, 409, -806
194, 203, -737
-248, -183, -919
-736, -532, -1071
-1062, -762, -1121
-1218, -967, -1094
-1291, -1152, -1069
-1247, -1294, -1135
